Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
3.333,0.0181098,-0.034089,0.0149139,-130.061,0.537247,-0.0488434,0.0909811,-0.770945,9.62005,58.7854,72.7649,57.7089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
3.735,0.0159792,-0.0436765,0.0117181,-120.488,0.830276,1.12332,0.134077,-0.770945,9.5578,58.427,71.6896,57.3634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
4.136,0.00745696,-0.0298279,0.00639168,-120.684,0.43956,1.31868,0.0239424,-0.751791,9.62484,58.7854,70.2558,57.3634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
4.538,0.0127834,-0.0287626,0.0117181,-120.781,1.02563,1.31868,0.0814041,-0.72306,9.66315,58.6062,70.435,57.1906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
4.94,0.034089,-0.0330237,0.0127834,-124.786,1.12332,0.732605,0.0957695,-0.699118,9.52428,58.0685,72.048,56.6722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
5.342,0.0138486,-0.0308931,0.0117181,-121.856,0.732605,1.51404,0.0143654,-0.809253,9.64399,57.5309,70.435,57.5361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
5.744,0.0138486,-0.0415459,0.0106528,-121.074,0.732605,1.41637,0.0670387,-0.742214,9.58653,56.4555,70.435,56.4995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
6.146,0.0138486,-0.0490029,0.0117181,-120.781,0.830276,1.41637,0.0909811,-0.727848,9.60568,57.5309,72.2272,57.8817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
6.548,0.0149139,-0.0276973,0.00745696,-120.781,1.02563,0.634918,0.0718271,-0.799676,9.52907,58.7854,71.6896,57.3634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
6.95,0.0127834,-0.0276973,0.00745696,-120.977,0.732605,1.12332,0.0191539,-0.790099,9.56259,56.6348,70.2558,57.0178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
