Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
36.053,0.0149139,0.387762,0.20773,-199.902,0.244202,0.634918,0.0136721,0.84181,8.57142,-16.4886,-2.15069,14.8592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36.455,0.0298279,0.369652,0.215187,-199.902,0.43956,0.732605,0.00195315,0.830579,8.54896,-16.6678,-1.97146,15.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36.856,0.0117181,0.370718,0.211991,-199.902,0.244202,0.830276,0.00195315,0.825696,8.56995,-14.3379,-3.58448,15.5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37.257,0.0255667,0.380305,0.20986,-199.902,0.634918,0.830276,0.0239261,0.838392,8.54212,-16.4886,-2.86758,13.8225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37.658,0.0415459,0.371783,0.226905,-199.902,0.341873,0.830276,0.0141604,0.835462,8.54261,-15.5925,-3.04681,15.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38.059,0.00426112,0.401611,0.213056,-199.902,0.537247,0.927963,0.0151369,0.826185,8.56263,-16.1301,-3.22603,16.9326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38.46,0.0383501,0.350477,0.218383,-199.902,0.341873,0.927963,0.0151369,0.851087,8.5348,-16.4886,-4.65982,15.2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38.861,0.0298279,0.389893,0.215187,-199.805,0.43956,0.830276,0.00634775,0.836927,8.55433,-16.1301,-3.22603,15.5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39.262,0.0053264,0.41759,0.210926,-199.902,0.341873,0.830276,0.00390631,0.833997,8.55238,-15.234,-3.7637,15.7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39.663,0.0372848,0.359,0.210926,-199.902,0.146515,0.927963,0.00195315,0.846693,8.53822,-17.5639,-3.94293,16.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.064,0.0852225,0.158727,0.216252,-199.902,0.634918,0.732605,0.0322271,0.852064,8.5304,-16.3094,-3.40525,15.3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.465,0.0159792,0.443157,0.216252,-199.805,0.341873,0.830276,-0.000976577,0.83595,8.54896,-15.4133,-2.50913,14.1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.866,0.00745696,0.415459,0.214121,-199.902,0.244202,0.830276,0.00390631,0.828626,8.55824,-15.5925,-3.04681,16.7598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41.267,0.00426112,0.409068,0.211991,-199.805,0.43956,0.732605,0.0107424,0.836439,8.54212,-15.5925,-2.32991,16.0687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41.668,0.0415459,0.38137,0.215187,-199.902,0.43956,0.927963,0.0107424,0.849134,8.54554,-15.4133,-2.86758,15.5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42.069,0.0234362,0.395219,0.210926,-199.805,0.43956,0.732605,0.00976577,0.827161,8.54115,-15.7717,-2.86758,15.2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42.47,0.00852225,0.409068,0.217317,-199.902,0.732605,0.732605,-0.00341802,0.836927,8.54701,-16.3094,-3.04681,13.9953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42.871,0.0458071,0.365391,0.214121,-199.902,0.244202,0.927963,0.00976577,0.842786,8.56312,-16.1301,-2.15069,14.5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43.272,0.0213056,0.405872,0.20986,-199.805,0.146515,0.927963,-0.000488289,0.822278,8.56117,-16.3094,-3.7637,15.7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43.673,0.0298279,0.385632,0.218383,-199.902,0.43956,0.830276,0.0166018,0.836439,8.54603,-14.1587,-3.40525,15.7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44.074,0.0458071,0.351543,0.220513,-199.902,0.43956,0.927963,0.00634775,0.846693,8.54456,-15.234,-3.40525,17.1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44.476,0.0053264,0.406937,0.213056,-199.902,0.43956,0.830276,0.0112306,0.840833,8.54798,-16.4886,-3.22603,15.2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44.877,0.0287626,0.374979,0.217317,-199.902,0.732605,0.732605,0.00390631,0.842786,8.54456,-15.9509,-3.7637,15.3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
