Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
27.285,0.0053264,-0.0351543,0.00958753,-131.038,0.537247,0.927963,-0.0180667,-0.0229496,0.972671,8.78197,37.0993,64.9657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27.687,0.0053264,-0.0500682,0.0170445,-121.27,1.02563,0.927963,-0.0151369,-0.0263676,0.977066,10.0365,33.6941,64.9657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.089,0.00958753,-0.0500682,0.0159792,-121.465,0.927963,1.31868,-0.0161135,-0.0278325,0.978042,10.5742,35.6656,65.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.491,0.00745696,-0.0159792,0.00745696,-121.074,0.927963,1.12332,-0.0195315,-0.0317388,0.974136,10.5742,34.5902,66.1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.893,0.00852225,-0.0351543,0.0117181,-129.866,0.927963,1.31868,-0.018555,-0.0356451,0.966323,11.8288,34.7694,66.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.295,0.00852225,-0.034089,0.0127834,-124.493,1.02563,1.12332,-0.0146487,-0.0361334,0.972671,11.6496,36.024,65.4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.697,0.00213056,-0.0362195,0.0159792,-121.563,0.830276,1.22101,-0.0126955,-0.0283207,0.976577,12.5457,34.411,65.3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.099,0.00745696,-0.0511335,0.0127834,-121.27,0.927963,1.31868,-0.018555,-0.0327153,0.983413,11.2911,35.3071,65.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.501,0,-0.0276973,0.00852225,-121.465,1.02563,1.12332,-0.018555,-0.0292973,0.975113,12.5457,34.7694,64.2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.903,0.00319584,-0.0170445,0.00958753,-120.977,0.830276,1.12332,-0.0166018,-0.0322271,0.976577,11.6496,35.6656,67.2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.305,0.00426112,-0.0308931,0.0117181,-122.637,1.02563,1.22101,-0.0200198,-0.0351568,0.971206,11.1119,36.2032,64.2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.707,0.00958753,-0.034089,0.0127834,-130.94,0.927963,1.41637,-0.0151369,-0.028809,0.975601,10.9327,35.6656,64.1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.109,0.00745696,-0.0436765,0.0117181,-121.172,0.927963,1.22101,-0.0166018,-0.0249027,0.975601,11.8288,36.5617,66.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.511,0.00958753,-0.0575252,0.0127834,-120.977,0.830276,1.12332,-0.0131838,-0.0292973,0.968765,10.2158,34.9487,65.8296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.913,0.0053264,-0.0372848,0.00958753,-117.167,0.830276,1.12332,-0.0117189,-0.0263676,0.972671,9.14042,35.6656,66.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.315,0.00319584,-0.0117181,0.00958753,-121.27,0.927963,1.41637,-0.0190433,-0.028809,0.974624,11.8288,35.8448,66.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.717,0.00426112,-0.0298279,0.00958753,-130.061,0.927963,1.31868,-0.0190433,-0.0278325,0.971206,12.1872,36.2032,64.6202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.119,0.0053264,-0.0330237,0.0138486,-130.94,1.02563,1.02563,-0.0161135,-0.0268559,0.974136,11.4703,36.5617,67.0391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.521,0.00745696,-0.0404807,0.0149139,-121.661,0.927963,1.31868,-0.0122072,-0.0263676,0.974136,12.3664,36.024,65.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.923,0.00958753,-0.0596557,0.0138486,-116.484,0.830276,1.41637,-0.0156252,-0.0385748,0.973648,11.1119,36.9201,66.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35.325,0.00319584,-0.0404807,0.0106528,-121.368,0.927963,1.12332,-0.0209964,-0.0292973,0.9673,11.1119,34.0525,66.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
