Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
1.901,0.07,0.14,0.21,0.000732,0.001464,0.002196,-199.414,-199.316,-199.219,0.00406,0.0029,0.00174,0,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
2.301,0.14,0.28,0.42,0.002928,0.005856,0.008784,-199.316,-199.219,-199.121,0.00406,0.0029,0.00174,0.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
2.701,0.14,0.28,0.42,0.002928,0.005856,0.008784,-199.316,-199.219,-199.121,0.00406,0.0029,0.00174,0.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
3.101,0.21,0.42,0.63,0.006588,0.013176,0.019764,-199.219,-199.121,-199.023,0.00406,0.0029,0.00174,0.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
3.501,0.21,0.42,0.63,0.006588,0.013176,0.019764,-199.219,-199.121,-199.023,0.00406,0.0029,0.00174,1,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
3.901,0.21,0.42,0.63,0.006588,0.013176,0.019764,-199.219,-199.121,-199.023,0.00406,0.0029,0.00174,1.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
4.301,0.28,0.56,0.84,0.011712,0.023424,0.035136,-199.121,-199.023,-198.926,0.00406,0.0029,0.00174,1.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
4.701,0.28,0.56,0.84,0.011712,0.023424,0.035136,-199.121,-199.023,-198.926,0.00406,0.0029,0.00174,1.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
5.101,0.35,0.7,1.05,0.0183,0.0366,0.0549,-199.023,-198.926,-198.828,0.00406,0.0029,0.00174,2,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
5.501,0.35,0.7,1.05,0.0183,0.0366,0.0549,-199.023,-198.926,-198.828,0.00406,0.0029,0.00174,2.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
5.901,0.35,0.7,1.05,0.0183,0.0366,0.0549,-199.023,-198.926,-198.828,0.00406,0.0029,0.00174,2.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
6.301,0.42,0.84,1.26,0.026352,0.052704,0.079056,-198.926,-198.828,-198.73,0.00406,0.0029,0.00174,2.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
6.701,0.42,0.84,1.26,0.026352,0.052704,0.079056,-198.926,-198.828,-198.73,0.00406,0.0029,0.00174,3,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
7.101,0.49,0.98,1.47,0.035868,0.071736,0.107604,-198.828,-198.73,-198.632,0.00406,0.0029,0.00174,3.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
7.501,0.49,0.98,1.47,0.035868,0.071736,0.107604,-198.828,-198.73,-198.632,0.00406,0.0029,0.00174,3.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
7.901,0.49,0.98,1.47,0.035868,0.071736,0.107604,-198.828,-198.73,-198.632,0.00406,0.0029,0.00174,3.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
8.301,0.56,1.12,1.68,0.046848,0.093696,0.140544,-198.73,-198.632,-198.535,0.00406,0.0029,0.00174,4,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
8.701,0.56,1.12,1.68,0.046848,0.093696,0.140544,-198.73,-198.632,-198.535,0.00406,0.0029,0.00174,4.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
9.101,0.63,1.26,1.89,0.059292,0.118584,0.177876,-198.632,-198.535,-198.437,0.00406,0.0029,0.00174,4.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
9.501,0.63,1.26,1.89,0.059292,0.118584,0.177876,-198.632,-198.535,-198.437,0.00406,0.0029,0.00174,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
9.901,0.63,1.26,1.89,0.059292,0.118584,0.177876,-198.632,-198.535,-198.437,0.00406,0.0029,0.00174,5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
10.301,0.7,1.4,2.1,0.0732,0.1464,0.2196,-198.535,-198.437,-198.339,0.00406,0.0029,0.00174,5.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
10.701,0.7,1.4,2.1,0.0732,0.1464,0.2196,-198.535,-198.437,-198.339,0.00406,0.0029,0.00174,5.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
11.101,0.77,1.54,2.31,0.088572,0.177144,0.265716,-198.437,-198.339,-198.242,0.00406,0.0029,0.00174,5.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
11.501,0.77,1.54,2.31,0.088572,0.177144,0.265716,-198.437,-198.339,-198.242,0.00406,0.0029,0.00174,6,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
11.901,0.77,1.54,2.31,0.088572,0.177144,0.265716,-198.437,-198.339,-198.242,0.00406,0.0029,0.00174,6.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
12.301,0.84,1.68,2.52,0.105408,0.210816,0.316224,-198.339,-198.242,-198.144,0.00406,0.0029,0.00174,6.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
12.701,0.84,1.68,2.52,0.105408,0.210816,0.316224,-198.339,-198.242,-198.144,0.00406,0.0029,0.00174,6.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
13.101,0.91,1.82,2.73,0.123708,0.247416,0.371124,-198.242,-198.144,-198.046,0.00406,0.0029,0.00174,7,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
13.501,0.91,1.82,2.73,0.123708,0.247416,0.371124,-198.242,-198.144,-198.046,0.00406,0.0029,0.00174,7.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
13.901,0.91,1.82,2.73,0.123708,0.247416,0.371124,-198.242,-198.144,-198.046,0.00406,0.0029,0.00174,7.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
14.301,0.98,1.96,2.94,0.143472,0.286944,0.430416,-198.144,-198.046,-197.949,0.00406,0.0029,0.00174,7.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
14.701,0.98,1.96,2.94,0.143472,0.286944,0.430416,-198.144,-198.046,-197.949,0.00406,0.0029,0.00174,8,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
15.101,1.05,2.1,3.15,0.1647,0.3294,0.4941,-198.046,-197.949,-197.851,0.00406,0.0029,0.00174,8.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
15.501,1.05,2.1,3.15,0.1647,0.3294,0.4941,-198.046,-197.949,-197.851,0.00406,0.0029,0.00174,8.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
15.901,1.05,2.1,3.15,0.1647,0.3294,0.4941,-198.046,-197.949,-197.851,0.00406,0.0029,0.00174,8.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
16.301,1.12,2.24,3.36,0.187392,0.374784,0.562176,-197.949,-197.851,-197.753,0.00406,0.0029,0.00174,9,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
16.701,1.12,2.24,3.36,0.187392,0.374784,0.562176,-197.949,-197.851,-197.753,0.00406,0.0029,0.00174,9.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
17.101,1.19,2.38,3.57,0.211548,0.423096,0.634644,-197.851,-197.753,-197.656,0.00406,0.0029,0.00174,9.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
17.501,1.19,2.38,3.57,0.211548,0.423096,0.634644,-197.851,-197.753,-197.656,0.00406,0.0029,0.00174,9.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
17.901,1.19,2.38,3.57,0.211548,0.423096,0.634644,-197.851,-197.753,-197.656,0.00406,0.0029,0.00174,10,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
18.301,1.26,2.52,3.78,0.237168,0.474336,0.711504,-197.753,-197.656,-197.558,0.00406,0.0029,0.00174,10.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
18.701,1.26,2.52,3.78,0.237168,0.474336,0.711504,-197.753,-197.656,-197.558,0.00406,0.0029,0.00174,10.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
19.101,1.33,2.66,3.99,0.264252,0.528504,0.792756,-197.656,-197.558,-197.46,0.00406,0.0029,0.00174,10.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
19.501,1.33,2.66,3.99,0.264252,0.528504,0.792756,-197.656,-197.558,-197.46,0.00406,0.0029,0.00174,11,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
19.901,1.33,2.66,3.99,0.264252,0.528504,0.792756,-197.656,-197.558,-197.46,0.00406,0.0029,0.00174,11.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
